Avg Salary,Mean of Avg Salary,Median of Avg,Median of Avg Salary,Max of Avg Salary,Standard Deviation of Avg Salary,,Rating,Mean of Rating,Median of Rating,Min of Rating,Max of Rating,Standard Deviation of Rating
85000,,,,,,,3.6,,,,,
85000,,,,,,,3.0,,,,,
85000,,,,,,,3.5,,,,,
85000,,,,,,,1.0,,,,,
59500,,,,,,,5.0,,,,,
59500,,,,,,,5.0,,,,,
59500,,,,,,,3.8,,,,,
59500,,,,,,,4.1,,,,,
59500,,,,,,,3.3,,,,,
59500,,,,,,,3.5,,,,,
59500,,,,,,,3.7,,,,,
59500,,,,,,,4.0,,,,,
59500,,,,,,,3.4,,,,,
59500,,,,,,,3.6,,,,,
59500,,,,,,,3.5,,,,,
59500,,,,,,,3.4,,,,,
59500,,,,,,,4.2,,,,,
59500,,,,,,,2.7,,,,,
59500,,,,,,,3.1,,,,,
59500,,,,,,,4.5,,,,,
59500,,,,,,,4.8,,,,,
59500,,,,,,,4.1,,,,,
59500,,,,,,,3.0,,,,,
59500,,,,,,,2.7,,,,,
59500,,,,,,,3.5,,,,,
59500,,,,,,,3.1,,,,,
59500,,,,,,,5.0,,,,,
59500,,,,,,,3.9,,,,,
66500,,,,,,,3.8,,,,,
66500,,,,,,,3.0,,,,,
66500,,,,,,,3.3,,,,,
66500,,,,,,,3.6,,,,,
66500,,,,,,,3.1,,,,,
66500,,,,,,,3.6,,,,,
66500,,,,,,,3.9,,,,,
66500,,,,,,,4.0,,,,,
66500,,,,,,,3.9,,,,,
100000,,,,,,,3.8,,,,,
100000,,,,,,,4.9,,,,,
100000,,,,,,,3.6,,,,,
100000,,,,,,,3.2,,,,,
100000,,,,,,,2.9,,,,,
100000,,,,,,,-1.0,,,,,
100000,,,,,,,4.2,,,,,
100000,,,,,,,3.4,,,,,
100000,,,,,,,3.1,,,,,
100000,,,,,,,4.5,,,,,
87000,,,,,,,4.0,,,,,
87000,,,,,,,2.6,,,,,
87000,,,,,,,-1.0,,,,,
87000,,,,,,,3.9,,,,,
87000,,,,,,,4.1,,,,,
87000,,,,,,,3.8,,,,,
87000,,,,,,,3.8,,,,,
87000,,,,,,,3.9,,,,,
87000,,,,,,,4.0,,,,,
87000,,,,,,,4.8,,,,,
87000,,,,,,,3.8,,,,,
87000,,,,,,,3.5,,,,,
87000,,,,,,,3.0,,,,,
39500,,,,,,,3.1,,,,,
39500,,,,,,,-1.0,,,,,
39500,,,,,,,3.5,,,,,
39500,,,,,,,4.0,,,,,
39500,,,,,,,3.2,,,,,
39500,,,,,,,3.3,,,,,
39500,,,,,,,-1.0,,,,,
39500,,,,,,,3.6,,,,,
39500,,,,,,,3.6,,,,,
39500,,,,,,,4.3,,,,,
39500,,,,,,,4.0,,,,,
39500,,,,,,,3.7,,,,,
39500,,,,,,,4.1,,,,,
39500,,,,,,,3.3,,,,,
39500,,,,,,,3.4,,,,,
39500,,,,,,,3.1,,,,,
39500,,,,,,,3.7,,,,,
39500,,,,,,,3.9,,,,,
39500,,,,,,,4.1,,,,,
39500,,,,,,,3.3,,,,,
39500,,,,,,,4.1,,,,,
39500,,,,,,,3.0,,,,,
39500,,,,,,,3.4,,,,,
39500,,,,,,,4.8,,,,,
39500,,,,,,,3.2,,,,,
39500,,,,,,,3.8,,,,,
39500,,,,,,,3.7,,,,,
39500,,,,,,,4.6,,,,,
58000,,,,,,,2.7,,,,,
58000,,,,,,,4.0,,,,,
58000,,,,,,,3.5,,,,,
58000,,,,,,,3.9,,,,,
58000,,,,,,,4.1,,,,,
58000,,,,,,,3.1,,,,,
58000,,,,,,,3.1,,,,,
58000,,,,,,,3.9,,,,,
58000,,,,,,,4.3,,,,,
58000,,,,,,,3.7,,,,,
58000,,,,,,,3.2,,,,,
58000,,,,,,,3.8,,,,,
58000,,,,,,,3.5,,,,,
58000,,,,,,,3.6,,,,,
58000,,,,,,,3.9,,,,,
58000,,,,,,,2.4,,,,,
58000,,,,,,,4.0,,,,,
58000,,,,,,,4.0,,,,,
58000,,,,,,,3.6,,,,,
58000,,,,,,,4.0,,,,,
58000,,,,,,,3.2,,,,,
58000,,,,,,,3.6,,,,,
58000,,,,,,,3.0,,,,,
104500,,,,,,,3.9,,,,,
